vds_id,inst_locat,posx,posy
VDS0022,봉명동 15-2(유성방향),127.354784,36.359818
VDS0023,봉명동 670(둔산방향),127.354644,36.359348
VDS0103,봉명동 1062,127.345698,36.348726
VDS0104,봉명동 1039-2(도안7단지예미지후문),127.345495,36.348277
VDS0107,원신흥동 523(가수원동방향 150M 교통표지판부근),127.349163,36.3357
VDS0108,원신흥동 514(VDS0107건너편),127.349503,36.33567
VDS0109,원신흥동528-5,127.343543,36.332378
VDS0110,도안동 1511(예미지 11단지 버스정류장 뒤쪽),127.343517,36.33197
VDS0112,"도안동 1525(도안동 307-2, 1505동 도로변)",127.347811,36.32365
VDS0113,"도안동 1528(도안동 306-2, VDS0112 건너편)",127.348111,36.323514
VDS0123,원신흥동49-4,127.352836,36.332246
VDS0124,도안동427-18,127.352844,36.331997
